prompt,completion
Que significa AES?,"Advanced Encryption Standard. Es un algoritmo criptográfico aprobado por FIPS que se utiliza para proteger datos electrónicos. Es un cifrado de bloque simétrico capaz de cifrar y descifrar información, utilizando claves de 128, 192 y 256 bits en bloques de 128 bits. GPON utiliza cifrado AES para la seguridad a nivel de protocolo y considera sus redes seguras gracias a este método. Es difícil desencriptar la información utilizando las claves de 128, 192 y 256 bytes/bits."
Que significa AM?,Amplitude modulation. Se menciona en el contexto de señales de radio con frecuencias en KHz.
Que significa APON?,"ATM-Passive Optical Network. Fue la primera especificación PON concebida por el FSAN en 1998. Está definida en la recomendación ITU-T G.983. Basa su transmisión de canal descendente en ráfagas de celdas ATM de 53 bytes. Tuvo éxito comercial pero carecía de capacidad para ofrecer video. Su máxima tasa de transmisión es de 155 Mbps, la cual se reparte según el número de clientes. Es una red ATM-POM. En una tabla comparativa se listan velocidades de transmisión de 155, 622, 1244 Mbps (Descarga y Carga) y utiliza ATM como modo de tráfico."
Que significa ATM?,"Asynchronous Transfer Mode. Se menciona en relación con las redes APON y BPON, las cuales se basan en esta tecnología. GPON es capaz de transmitir tráfico ATM."
Que significa BPON?,"Broadband Passive Optical Network. Presentada por el FSAN en el año 2001. Se basa en ATM y está definida en la recomendación ITU-T G.983. Surge como una mejora de la tecnología APON para integrar y obtener acceso a más servicios como Ethernet, distribución de video y multiplexación por longitud de onda (WDM), logrando un mayor ancho de banda. Una tabla comparativa indica una velocidad de transmisión de 1244 Mbps (Descarga y Carga) y utiliza ATM como modo de tráfico."
Que significa EDFA?,"Erbium Doped Fiber Amplifier. Son amplificadores de fibra dopada con Erbio. Son particularmente efectivos para longitudes de onda entre aproximadamente 1525-1565 nm y 1570-1610 nm, permitiendo lograr distancias de hasta 1000 km al aumentar la señal en DWDM."
Que significa EFM?,"Ethernet Firt Mile (Nota: En el glosario aparece como ""Firt"", mientras que en otra parte se menciona como ""First Mile""). Es un grupo del IEE que definió EPON. El estándar EPON está basado en el estándar IEEE 802.3ah, también denominado EFM."
Que significa EPON?,"Ethernet Passive Optical Network. Tecnología de PON definida en 2004 por el grupo EFM del IEE, influenciada por la tecnología Gigabit Ethernet. Está basado en el estándar IEEE 802.3ah. Combina los protocolos de transporte Ethernet con topologías de redes PON punto a multipunto. Permitió anchos de banda a precios más competitivos. Carecía de funcionalidades para el transporte de otros servicios con calidad, pero era un éxito en varios países. Una tabla comparativa la lista con estándar IEEE 802.3ah, ancho de banda de 1,25 Gbps simétrico, y transmisión Ethernet. GPON aparece como sustituto de las redes EPON que usaban cable de cobre."
Que significa FM?,Frequency modulation. Se menciona en el contexto de señales de radio con frecuencias en MHz.
Que significa FTTB?,Fiber To The Building. Es un término para designar un tipo de acceso de banda ancha sobre fibra óptica (tecnología FTTx). Es un despliegue donde la fibra llega al edificio y se distribuye a través de cobre o cable de red hasta llegar a casa.
